<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DGW,20210827,85.5,85.5,84.2,85.3,407800
DHA,20210827,44.8,45.7,44.6,45.6,131400
DHC,20210827,82.1,82.9,82,82.8,142700
DHG,20210827,94.7,101.5,94.7,101.5,172400
DHM,20210827,11.5,11.65,11.45,11.5,367400
DIG,20210827,32,34.5,31.9,33.7,17419500
DLG,20210827,2.96,3.04,2.95,3.02,3429600
DMC,20210827,53,56.7,53,56.7,679000
DPG,20210827,38.3,40,38.3,40,1953600
DPM,20210827,35.3,36.8,35.05,36.8,5808400
DPR,20210827,62,64,61.1,64,135300
DQC,20210827,21.6,21.7,20.2,21.5,43700
DRC,20210827,31.5,34,31.2,34,3844000
DRH,20210827,9.51,10.05,9.46,10,653100
DSN,20210827,41.05,41.05,40.9,41,6800
DTA,20210827,12.4,12.8,11.85,12.7,119300
DTL,20210827,33.8,33.8,33.8,33.8,2000
DVP,20210827,56.8,57.8,56.7,57.1,126900
DXG,20210827,20.9,21.7,20.65,21.65,3400100
DXV,20210827,3.95,4.15,3.95,4.1,3100
E1VFVN30,20210827,23.99,25,23.42,23.8,1096700
EIB,20210827,24.15,24.8,24.15,24.6,254900
ELC,20210827,18.2,19,18.2,18.95,516600
EVE,20210827,15.05,15.55,15.05,15.25,77200
EVG,20210827,9.26,9.4,9.2,9.4,512900
FCM,20210827,6.52,6.63,6.52,6.6,1400
FCN,20210827,12.85,13.75,12.85,13.75,3868200
FDC,20210827,11.2,11.95,11.2,11.9,1200
FIR,20210827,35.9,36.6,35.7,36.3,362200
FIT,20210827,17,17.7,17,17.7,6594900
FLC,20210827,10.25,10.4,10.1,10.25,10739600
FMC,20210827,41.8,42.8,41.6,42.65,375900
FPT,20210827,91,92,90.6,92,1896200
FRT,20210827,38.9,40.9,38.6,40.9,2033100
FTM,20210827,2.74,2.77,2.7,2.75,208800
FTS,20210827,53.8,54,51.6,54,678400
FUCVREIT,20210827,10.8,10.8,10.25,10.6,600
FUEMAV30,20210827,16.51,16.73,16.35,16.73,37100
FUESSV30,20210827,18.3,18.31,18.14,18.17,46500
FUESSV50,20210827,20.7,20.8,20.7,20.8,34300
FUESSVFL,20210827,20,20,19.53,19.92,214300
FUEVFVND,20210827,24.5,24.88,24.42,24.88,908200
FUEVN100,20210827,17.7,17.84,17.5,17.8,60900
GAB,20210827,195.6,195.6,195.5,195.5,200
GAS,20210827,86.3,87.1,86,87,927500
GDT,20210827,55,55.5,54.7,55.5,20500
GEG,20210827,17,17.8,16.85,17.8,2470400
GEX,20210827,22.8,23.8,22.75,23.8,14892700
GIL,20210827,58.5,60,58.1,60,495600
GMC,20210827,29.05,30.3,29,30.2,1600
GMD,20210827,51,52,50.3,51.1,4565800
GSP,20210827,12.3,13.2,12.3,13.1,407800
GTA,20210827,16.05,16.5,15.45,16.2,42600
GTN,20210827,17.3,17.65,17.2,17.55,261500
GVR,20210827,35,37.4,34.5,37.4,7521500
HAG,20210827,5.03,5.05,4.99,5.05,2399200
HAH,20210827,59.8,61.6,58.2,59.1,2061400
HAI,20210827,4.07,4.19,4.01,4.18,1954700
HAR,20210827,4.5,4.55,4.35,4.5,469800
HAS,20210827,12.05,12.05,12.05,12.05,100
HAX,20210827,21,21.8,20.8,21.5,362200
HBC,20210827,13.95,14.5,13.9,14.5,3820600
HCD,20210827,7,7.26,7,7.25,753400
HCM,20210827,51.7,53.5,50.9,53.5,6572600
HDB,20210827,26.7,26.8,25.7,26.5,2571400
HDC,20210827,62.7,64.8,62.7,64.5,900300
HDG,20210827,52.7,55,52,55,2565500
HHP,20210827,11.5,11.9,10.75,10.75,1034900
HHS,20210827,5.98,6.05,5.9,6,1435400
HID,20210827,5.57,5.88,5.47,5.66,1016600
HII,20210827,15.4,15.75,15.4,15.75,331500
HMC,20210827,26.5,26.95,26.1,26.85,116500
HNG,20210827,7.1,7.35,6.91,7.3,5572900
HPG,20210827,47.5,47.85,46.75,47.6,24491000
HPX,20210827,39,41,38.5,41,248700
HQC,20210827,3.14,3.19,3.11,3.17,4523000
HRC,20210827,63,63,63,63,300
HSG,20210827,37.7,38.45,37.3,38.25,7471300
HSL,20210827,6.7,6.75,6.6,6.72,81200
HT1,20210827,19.65,20.8,19.35,20.8,8765800
HTI,20210827,15.1,15.4,15.1,15.4,26500
HTL,20210827,18.9,19.05,18.4,18.4,7200
HTN,20210827,40.2,43.95,39.5,43.6,566100
HTV,20210827,15.35,15.35,14.8,15.2,85300
HU1,20210827,9,9.5,9,9,5800
HU3,20210827,7.01,7.01,7.01,7.01,100
HUB,20210827,23.6,24,23.5,24,13300
HVH,20210827,8.95,8.95,8.7,8.81,934700
HVN,20210827,21.2,21.2,20.9,21.15,346200
HVX,20210827,4.95,5.25,4.73,5.25,65200
IBC,20210827,21.4,21.5,21,21.5,110400
ICT,20210827,17.8,17.8,17.5,17.7,157300
IDI,20210827,6.21,6.39,6.14,6.3,816700
IJC,20210827,25.75,27.2,25.2,27.2,6951100
ILB,20210827,31.7,32.7,31.65,32.4,266400
IMP,20210827,69.7,73.3,68.6,73.3,97700
ITA,20210827,6.4,6.52,6.3,6.52,4079400
